tsne_1,tsne_2
-36.096973,-32.291615
19.727962,-42.159657
-64.902725,-5.67552
-39.021965,5.540133
-61.55791,-7.9884195
-48.69858,-22.33624
-47.794434,-11.996936
-5.3021774,34.68913
-23.713188,23.188837
-23.012959,-35.99949
-15.264706,-36.41238
-63.89877,5.0972166
-50.283848,-11.9958315
-27.985252,24.781015
36.33435,32.015728
-23.779593,32.6666
-44.190964,-2.3032348
35.469147,-17.902441
50.385616,-2.9333394
27.388964,-48.831573
-57.354095,15.845161
15.67235,12.356609
29.16035,-6.8820114
-13.625591,38.375023
-33.385754,-28.891096
-67.3041,14.442575
9.780945,1.5270993
-11.006334,-43.03211
36.63921,-13.959989
-24.756063,39.75159
41.71318,-15.230994
16.112284,4.2749476
22.035645,-13.207862
35.697075,31.665947
26.728037,-8.748342
-42.843357,2.586104
25.199717,-34.6702
4.6920176,-32.659756
-52.88864,-11.070907
-44.9358,-23.397984
-43.953716,20.660753
38.400112,-28.742493
-62.06786,8.421357
-5.5544386,30.756367
1.5294168,-33.758152
9.134444,32.35619
-5.667855,34.934704
-61.79794,17.617594
6.332617,35.351234
-19.752453,0.08648102
-39.76195,8.326332
16.280691,-41.47261
-17.770765,5.038049
-28.967432,38.77393
-24.448906,-17.865788
-64.68602,14.454903
-24.829939,0.19205779
-45.284443,-3.403259
12.51491,-45.103054
-17.180574,39.93962
-23.611963,33.9065
18.68351,-42.765274
0.39313948,-21.941837
-37.388947,16.716873
-2.7135737,-26.529535
-27.559172,37.581944
-3.7210343,22.645054
-38.598396,28.1585
-18.755411,18.044416
12.090492,-47.668255
-9.862221,40.297516
-23.190027,-27.925549
48.89236,-8.782976
0.92651844,-33.99156
13.711656,-46.85128
-5.0918946,2.637714
-34.367374,13.083436
32.097713,10.642891
11.701458,-39.47947
-24.956268,-7.5004272
-6.011155,-31.308153
44.6245,-34.05167
-58.15032,-19.23302
-24.539364,19.806591
7.733569,7.7000704
5.9985247,-42.64507
3.7780595,-44.108498
9.096829,7.19986
10.509346,1.1673322
-44.039734,24.35751
-34.205204,-15.910896
36.159985,-10.078257
33.954636,-16.186432
-33.857468,-29.88319
-28.204853,34.08895
26.241863,0.1067168
-31.054712,-14.67244
58.187523,17.237247
-56.915443,-16.988882
-29.942759,17.328388
-14.629685,-30.605413
-59.893387,-10.584071
28.457056,3.0327504
-62.975567,1.521676
0.9354091,-30.38153
-6.2447133,33.363796
-44.008793,15.549314
-48.45658,30.710552
15.88155,23.321875
3.3756487,-24.527641
-43.207348,-2.599301
26.91535,-19.161818
27.918503,-13.654636
11.185362,20.627995
-39.84125,8.928808
-27.244862,-25.848316
15.790659,-44.989483
24.945858,4.233909
24.17655,19.413475
-41.039593,7.135548
21.828407,-43.91969
-40.286922,9.649089
-22.558855,39.040474
-31.869816,-33.837925
-14.972289,45.118652
10.797877,-1.1323273
26.605112,-38.83908
-34.313393,36.816402
-16.595482,20.77825
-49.540802,-14.827868
23.758146,-54.84184
-25.133446,-25.110395
35.510166,-32.988262
-22.253109,32.912743
-36.54921,38.76238
36.215683,-6.3913684
40.693546,-37.03907
-44.609314,-22.345797
7.560826e-05,6.228893
-22.626028,22.972387
52.073494,23.84936
